image_url,alt_text,page_source,width,height,format,estimated_size_kb,category,downloaded,local_path
https://juliaoboticarios.com/juliao-01.svg,Juliao Boticarios,https://juliaoboticarios.com/?controller=newproducts,,,svg,11.56,misc,True,data\output\images\misc\juliao-01.svg
https://juliaoboticarios.com/themes/leo_frido/assets/img/modules/appagebuilder/images/amarillo-1.jpg,,https://juliaoboticarios.com/?controller=newproducts,,,jpg,2.05,misc,True,data\output\images\misc\amarillo-1.jpg
https://juliaoboticarios.com/3147-large_default/aceite-ambiental-ama-nacer-25-ml.jpg,Aceite Ambiental Ama Nacer...,https://juliaoboticarios.com/?controller=newproducts,,,jpg,50.74,misc,True,data\output\images\misc\aceite-ambiental-ama-nacer-25-ml.jpg
https://juliaoboticarios.com/img/seosaproductlabels/1/1.png,NUEVOS,https://juliaoboticarios.com/?controller=newproducts,,,png,2.15,misc,True,data\output\images\misc\1.png
https://juliaoboticarios.com/3142-large_default/bruma-sensorial-ama-nacer-250-ml.jpg,Bruma Sensorial Ama Nacer...,https://juliaoboticarios.com/?controller=newproducts,,,jpg,34.71,misc,True,data\output\images\misc\bruma-sensorial-ama-nacer-250-ml.jpg
https://juliaoboticarios.com/3148-large_default/bruma-sensorial-ama-nacer-60-ml.jpg,Bruma Sensorial Ama Nacer...,https://juliaoboticarios.com/?controller=newproducts,,,jpg,35.52,misc,True,data\output\images\misc\bruma-sensorial-ama-nacer-60-ml.jpg
https://juliaoboticarios.com/3143-large_default/elixir-corporal-ama-nacer-45ml.jpg,Elixir Corporal Ama Nacer 45Ml,https://juliaoboticarios.com/?controller=newproducts,,,jpg,41.22,misc,True,data\output\images\misc\elixir-corporal-ama-nacer-45ml.jpg
https://juliaoboticarios.com/3140-large_default/elixir-corporal-ama-nacer-125ml.jpg,Elixir Corporal Ama Nacer...,https://juliaoboticarios.com/?controller=newproducts,,,jpg,41.16,misc,True,data\output\images\misc\elixir-corporal-ama-nacer-125ml.jpg
https://juliaoboticarios.com/3146-large_default/balsamo-corporal-ama-nacer-45-g.jpg,Bálsamo Corporal Ama nacer...,https://juliaoboticarios.com/?controller=newproducts,,,jpg,51.2,misc,True,data\output\images\misc\balsamo-corporal-ama-nacer-45-g.jpg
https://juliaoboticarios.com/3145-large_default/balsamo-corporal-ama-nacer-200g.jpg,Bálsamo Corporal Ama nacer...,https://juliaoboticarios.com/?controller=newproducts,,,jpg,104.81,misc,True,data\output\images\misc\balsamo-corporal-ama-nacer-200g.jpg
https://juliaoboticarios.com/3144-large_default/leche-de-bano-ama-nacer-440ml.jpg,Leche De Baño Ama Nacer  45 ml,https://juliaoboticarios.com/?controller=newproducts,,,jpg,50.39,misc,True,data\output\images\misc\leche-de-bano-ama-nacer-440ml.jpg
https://juliaoboticarios.com/themes/leo_frido/assets/img/modules/appagebuilder/images/Group-13455.jpg,,https://juliaoboticarios.com/?controller=newproducts,,,jpg,74.22,misc,True,data\output\images\misc\Group-13455.jpg
